pair,k1,k2,name1,name2,league,start_time,fair1,fair2,quote1,quote2,limit_usd,seen_at,obs_at,cutoff_at,version,mins_to_start,n_seen
butvilas|e|kecmanovic|m,butvilas|e,kecmanovic|m,Edas Butvilas,Miomir Kecmanovic,Davis Cup World - Group 1,2026-09-19 13:00:00,0.29464006161089346,0.7053599383891064,0.30959752321981426,0.7198879551820728,3000,2026-09-19 12:05:37,2026-09-19 12:03:57,2026-09-19 13:00:00,3734147389,54.4,65
butvilas|e|medjedovic|h,butvilas|e,medjedovic|h,Edas Butvilas,Hamad Medjedovic,Davis Cup World - Group 1,2026-09-20 13:45:00,0.1926078291876753,0.8073921708123247,0.20746887966804978,0.8214285714285714,1700,2026-09-20 10:34:18,2026-09-20 10:19:35,2026-09-20 13:45:00,3736078187,190.7,57
cacao|t|deckers|a,cacao|t,deckers|a,Tiago Cacao,Alec Deckers,ITF Men Sintra - QF,2026-09-18 11:00:00,0.43120350787471884,0.5687964921252813,0.45454545454545453,0.5918367346938775,750,2026-09-18 13:28:24,2026-09-18 13:17:42,2026-09-18 11:00:00,3732623778,-148.4,97
cacao|t|schoen|p,cacao|t,schoen|p,Tiago Cacao,Patrick Schoen,ITF Men Sintra - SF,2026-09-19 11:00:00,0.3109508586114788,0.689049141388521,0.33557046979865773,0.7126436781609194,750,2026-09-19 11:44:54,2026-09-19 11:35:52,2026-09-19 11:42:32,3734098052,-44.9,83
canada||france|,canada|,france|,Canada,France,Davis Cup - Tie Winner,2026-09-18 20:00:00,0.35459611154987597,0.6454038884501241,0.37878787878787884,0.6688741721854304,500,2026-09-19 23:01:10,2026-09-19 23:00:18,2026-09-18 20:00:00,3733007756,-1621.2,296
canas|a|caniato|c,canas|a,caniato|c,Alejandro Moro Canas,Carlo Alberto Caniato,ATP Challenger Biella - Final,2026-09-20 09:43:03,0.5458670501228922,0.45413294987710784,0.5633187772925764,0.4716981132075471,2500,2026-09-20 09:49:34,2026-09-20 09:38:31,2026-09-20 09:43:03,3736016373,-6.5,71
canas|a|clarke|j,canas|a,clarke|j,Alejandro Moro Canas,Jay Clarke,ATP Challenger Biella - SF,2026-09-19 13:22:54,0.5702531634702028,0.4297468365297971,0.5867768595041323,0.4464285714285714,2500,2026-09-19 13:17:44,2026-09-19 13:04:30,2026-09-19 13:00:00,3734270101,5.1,97
cardozo|f|dickerson|r,cardozo|f,dickerson|r,Federico Aguilar Cardozo,Ryan Dickerson,ATP Challenger Buenos Aires - Qualifiers,2026-09-20 15:30:00,0.6069114337902296,0.3930885662097702,0.635036496350365,0.42194092827004215,175,2026-09-20 10:34:18,2026-09-20 10:34:18,2026-09-20 15:30:00,3736095507,295.7,17
car|h|cassone|m,car|h,cassone|m,Hugo Car,Murphy Cassone,ATP Challenger St Tropez - Qualifiers,2026-09-20 13:45:00,0.26365411893438057,0.7363458810656194,0.2857142857142857,0.7572815533980582,750,2026-09-20 10:34:18,2026-09-20 10:19:35,2026-09-20 13:45:00,3736076855,190.7,49
catanzarite|a|estevez|j,catanzarite|a,estevez|j,Ava Catanzarite,Josefina Estevez,ITF Women Sao Luis - SF,2026-09-19 15:00:00,0.46311087120684624,0.5368891287931538,0.48780487804878053,0.5614035087719298,750,2026-09-19 13:45:09,2026-09-19 13:41:55,2026-09-19 13:45:20,3734378911,74.8,85
catanzarite|a|risso|l,catanzarite|a,risso|l,Ava Catanzarite,Leyla Fiorella Britez Risso,ITF Women Sao Luis - Final,2026-09-20 15:00:00,0.18729663089653853,0.8127033691034613,0.2173913043478261,0.8394863563402889,550,2026-09-20 10:34:18,2026-09-20 10:19:35,2026-09-20 15:00:00,3735975620,265.7,58
catanzarite|a|vidal|l,catanzarite|a,vidal|l,Ava Catanzarite,Leticia Garcia Vidal,ITF Women Sao Luis - QF,2026-09-18 15:43:39,0.8539112025880087,0.1460887974119914,0.87546699875467,0.1706484641638225,750,2026-09-18 15:50:14,2026-09-18 15:35:36,2026-09-18 15:43:39,3732936877,-6.6,73
catarina|l|vasa|e,catarina|l,vasa|e,Lucas Catarina,Eero Vasa,Davis Cup World - Group 1,2026-09-19 16:43:00,0.17974768362195953,0.8202523163780405,0.19455252918287938,0.8341625207296849,2250,2026-09-19 16:44:24,2026-09-19 16:32:26,2026-09-19 16:43:00,3734975433,-1.4,102
cecchinato|m|trungelliti|m,cecchinato|m,trungelliti|m,Marco Cecchinato,Marco Trungelliti,ATP Challenger Szczecin - QF,2026-09-18 13:00:00,0.40444095407052155,0.5955590459294785,0.4184100418410042,0.609375,3000,2026-09-18 13:28:24,2026-09-18 13:17:42,2026-09-18 13:00:00,3732656070,-28.4,99
cerundolo|f|erel|y,cerundolo|f,erel|y,Francisco Cerundolo,Yanki Erel,Davis Cup World - Group 1,2026-09-19 15:24:26,0.8252867342824238,0.17471326571757617,0.8412698412698413,0.19193857965451055,1700,2026-09-19 15:27:22,2026-09-19 15:16:15,2026-09-19 15:24:26,3734750781,-3.0,44
chan|f|herbert|b,chan|f,herbert|b,Felix Auger-Aliassime / Duncan Chan,Benjamin Bonzi / Pierre-Hugues Herbert,Davis Cup - Doubles,2026-09-19 17:00:00,0.3608967648381518,0.6391032351618482,0.3846153846153846,0.6621621621621622,1250,2026-09-19 18:20:37,2026-09-19 18:13:34,2026-09-19 17:00:00,3735039909,-80.6,75
chepelev|a|rehberg|m,chepelev|a,rehberg|m,Andrey Chepelev,Max Hans Rehberg,ITF Men Santa Margherita di Pula - Final,2026-09-19 09:00:00,0.17242556113776736,0.8275744388622326,0.1972386587771203,0.8498498498498499,750,2026-09-19 08:27:06,2026-09-19 08:27:06,2026-09-19 09:00:00,3733829431,32.9,61
chidekh|c|mayot|h,chidekh|c,mayot|h,Clement Chidekh,Harold Mayot,ATP Challenger Rennes - QF,2026-09-18 12:00:00,0.5854827244396449,0.4145172755603552,0.6000000000000001,0.4291845493562232,3000,2026-09-18 13:28:24,2026-09-18 13:17:42,2026-09-18 12:00:00,3732655533,-88.4,108
chiesa|e|senica|a,chiesa|e,senica|a,Enola Chiesa,Alja Senica,WTA 125k Tolentino - Qualifiers,2026-09-20 11:40:00,0.5,0.5,0.5215311004784688,0.5215311004784688,1750,2026-09-20 10:34:18,2026-09-20 10:19:35,2026-09-20 11:40:00,3735950712,65.7,52
chile||spain|,chile|,spain|,Chile,Spain,Davis Cup - Tie Winner,2026-09-19 16:00:00,0.3192758131561478,0.6807241868438522,0.3436426116838488,0.7041420118343195,500,2026-09-20 10:34:18,2026-09-20 10:19:35,2026-09-19 16:00:00,3734892876,-1114.3,210
chung|h|suresh|d,chung|h,suresh|d,Hyeon Chung,Dhakshineswar Suresh,Davis Cup - Qualifiers,2026-09-19 06:51:00,0.33526384996690667,0.6647361500330933,0.35460992907801414,0.6835443037974683,1750,2026-09-19 06:56:31,2026-09-19 06:45:23,2026-09-19 06:51:00,3733786826,-5.5,76
chung|y|ferguson|c,chung|y,ferguson|c,Yun Seong Chung,Chase Ferguson,ITF Men Guiyang - SF,2026-09-19 02:19:47,0.675040435685387,0.32495956431461315,0.6987951807228916,0.34965034965034963,750,2026-09-19 02:18:30,2026-09-19 02:07:28,2026-09-19 03:08:00,3733670053,1.3,102
chung|y|kachmazov|a,chung|y,kachmazov|a,Yun Seong Chung,Alibek Kachmazov,ITF Men Guiyang - Final,2026-09-20 04:12:33,0.37717741170555596,0.622822588294444,0.4016064257028112,0.646643109540636,750,2026-09-20 04:08:51,2026-09-20 04:02:11,2026-09-20 05:00:00,3735802543,3.7,158
chwalinska|m|sramkova|r,chwalinska|m,sramkova|r,Maja Chwalinska,Rebecca Sramkova,WTA Singapore - R1,2026-09-21 03:10:00,0.6435351206517878,0.35646487934821236,0.6598639455782314,0.373134328358209,425,2026-09-20 10:34:18,2026-09-20 10:19:35,2026-09-21 03:10:00,3736049546,995.7,11
ciavarella|n|dagostino|s,ciavarella|n,dagostino|s,Niccolo Ciavarella,Stefano D'agostino,ATP Challenger Genoa - Qualifiers,2026-09-20 12:10:00,0.27310625887956996,0.72689374112043,0.30303030303030304,0.7549019607843137,350,2026-09-20 10:34:18,2026-09-20 10:19:35,2026-09-20 12:10:00,3735988506,95.7,50
cigarran|t|pesino|s,cigarran|t,pesino|s,Thiago Cigarran,Santiago Pesino,ATP Challenger Buenos Aires - Qualifiers,2026-09-20 14:20:00,0.8376990967150714,0.1623009032849289,0.8694516971279374,0.2,350,2026-09-20 10:34:18,2026-09-20 10:34:18,2026-09-20 14:20:00,3736094709,225.7,7
clarke|j|gill|f,clarke|j,gill|f,Jay Clarke,Felix Gill,ATP Challenger Biella - QF,2026-09-18 13:00:00,0.4614117323941385,0.5385882676058615,0.47846889952153115,0.5555555555555556,2500,2026-09-18 13:28:24,2026-09-18 13:17:42,2026-09-18 13:00:00,3732653560,-28.4,109
collins|k|gomez|j,collins|k,gomez|j,Kylie Collins,Jessica Hinojosa Gomez,WTA 125K Porto - Qualifiers,2026-09-20 11:30:00,0.9359662489791657,0.06403375102083446,0.9546896239238785,0.08976660682226212,225,2026-09-20 10:34:18,2026-09-20 10:19:35,2026-09-20 11:30:00,3735939327,55.7,59
collins|k|pohankova|m,collins|k,pohankova|m,Kylie Collins,Mia Pohankova,WTA 125k Caldas Da Rainha - QF,2026-09-18 11:10:00,0.24787423833772004,0.7521257616622801,0.27027027027027023,0.7732426303854876,1750,2026-09-18 13:28:24,2026-09-18 13:17:42,2026-09-18 11:10:00,3732573230,-138.4,121
cordoba|c|rapagnetta|d,cordoba|c,rapagnetta|d,Carles Cordoba,Daniele Rapagnetta,ITF Men Melilla - SF,2026-09-19 09:00:00,0.40193707752592206,0.598062922474078,0.425531914893617,0.6212121212121212,750,2026-09-19 08:08:36,2026-09-19 08:06:58,2026-09-19 08:11:27,3733822106,51.4,60
cosano|j|ruffino|e,cosano|j,ruffino|e,Javier Barranco Cosano,Elia Ruffino,ATP Challenger Genoa - Qualifiers,2026-09-20 09:50:00,0.9838904116999224,0.016109588300077537,0.993292192111618,0.038182512409316534,50,2026-09-20 09:55:14,2026-09-20 09:49:24,2026-09-20 09:50:00,3735963808,-5.2,31
crawley|f|leonard|m,crawley|f,leonard|m,Fiona Crawley,Manon Leonard,ITF Women Le Neubourg - SF,2026-09-19 14:52:35,0.7124369913103329,0.28756300868966705,0.7361477572559366,0.3125,750,2026-09-19 14:57:35,2026-09-19 14:45:37,2026-09-19 14:52:35,3734657231,-5.0,76
crawley|f|siskova|a,crawley|f,siskova|a,Fiona Crawley,Anna Siskova,ITF Women Le Neubourg - Final,2026-09-20 13:00:00,0.5327485830028734,0.4672514169971266,0.5555555555555556,0.49019607843137253,550,2026-09-20 10:34:18,2026-09-20 10:19:35,2026-09-20 13:00:00,3735975115,145.7,59
croatia||germany|,croatia|,germany|,Croatia,Germany,Davis Cup - Tie Winner,2026-09-19 12:00:00,0.22859949169432334,0.7714005083056766,0.2531645569620253,0.794238683127572,500,2026-09-20 10:34:18,2026-09-20 10:19:35,2026-09-19 12:00:00,3733770423,-1354.3,211
