pair,seen_at,obs_at,start_time,mins_to_start,fair1,fair2,quote1,quote2,limit_usd,version
angelo|j|barrena|a,2026-09-25 01:01:04,2026-09-25 00:47:25,2026-09-25 21:00:00,1198.9,0.5242005672154525,0.4757994327845475,0.5433789954337899,0.49504950495049505,200,3740894023
agwi|m|murgett|f,2026-09-25 01:01:04,2026-09-25 00:47:25,2026-09-25 11:00:00,598.9,0.6521666537966251,0.34783334620337497,0.6845425867507886,0.38167938931297707,375,3740875686
joint|m|tararudee|l,2026-09-25 01:01:04,2026-09-25 00:47:25,2026-09-25 07:30:00,388.9,0.454968038468196,0.5450319615318039,0.4694835680751174,0.5594713656387665,4000,3740891949
miedler|q|rikl|f,2026-09-25 01:01:04,2026-09-25 00:47:25,2026-09-25 08:30:00,448.9,0.5757816609701639,0.42421833902983613,0.601593625498008,0.4504504504504505,375,3740892911
andreev|a|valiente|i,2026-09-25 01:01:04,2026-09-25 00:47:25,2026-09-25 12:30:00,688.9,0.5644880298800411,0.43551197011995896,0.5833333333333333,0.45454545454545453,1500,3740896179
encheva|l|yaneva|e,2026-09-25 01:01:04,2026-09-25 01:01:04,2026-09-25 08:00:00,418.9,0.24951407842603618,0.750485921573964,0.2840909090909091,0.7821350762527233,750,3740898153
prozorova|t|wang|x,2026-09-25 01:01:04,2026-09-25 00:47:25,2026-09-25 06:30:00,328.9,0.32780856804674474,0.6721914319532553,0.3424657534246575,0.6865203761755486,850,3740894307
damm|m|hurkacz|h,2026-09-25 01:01:04,2026-09-25 00:47:25,2026-09-26 01:00:00,1438.9,0.28726314495272304,0.7127368550472771,0.3048780487804878,0.7297297297297298,2400,3740887462
gurri|m|tiffon|p,2026-09-25 01:01:04,2026-09-25 00:47:25,2026-09-25 11:00:00,598.9,0.5919113910219702,0.4080886089780298,0.6108949416342413,0.4273504273504274,1500,3740895979
basavareddy|n|hance|k,2026-09-25 01:01:04,2026-09-25 00:47:25,2026-09-25 01:30:00,28.9,0.843779830337477,0.15622016966252292,0.8655913978494624,0.18083182640144665,875,3740896679
medvedev|d|royer|v,2026-09-25 01:01:04,2026-09-25 00:47:25,2026-09-26 02:00:00,1498.9,0.7721291621958881,0.22787083780411196,0.7863247863247863,0.24271844660194175,4000,3740889375
dietrich|d|searle|h,2026-09-25 01:01:04,2026-09-25 00:47:25,2026-09-25 18:00:00,1018.9,0.5663820569690258,0.43361794303097434,0.5850622406639003,0.45248868778280543,1500,3740896699
kicker|n|mena|f,2026-09-25 01:01:04,2026-09-25 00:47:25,2026-09-25 17:00:00,958.9,0.4122414345950129,0.5877585654049873,0.43103448275862066,0.6062992125984252,1500,3740894214
